HDR,ROLLING SYSTEM DEMAND
VD,20220325000000,25231
VD,20220325000500,25285
VD,20220325001000,25378
VD,20220325001500,25290
VD,20220325002000,25223
VD,20220325002500,25151
VD,20220325003000,25316
VD,20220325003500,25511
VD,20220325004000,25642
VD,20220325004500,25669
VD,20220325005000,25669
VD,20220325005500,25531
VD,20220325010000,25427
VD,20220325010500,25392
VD,20220325011000,25303
VD,20220325011500,25170
VD,20220325012000,25112
VD,20220325012500,25077
VD,20220325013000,25123
VD,20220325013500,25300
VD,20220325014000,25384
VD,20220325014500,25495
VD,20220325015000,25463
VD,20220325015500,25406
VD,20220325020000,25287
VD,20220325020500,25066
VD,20220325021000,25021
VD,20220325021500,24963
VD,20220325022000,24895
VD,20220325022500,24838
VD,20220325023000,24804
VD,20220325023500,24815
VD,20220325024000,24791
VD,20220325024500,24828
VD,20220325025000,24851
VD,20220325025500,24809
VD,20220325030000,24776
VD,20220325030500,24600
VD,20220325031000,24583
VD,20220325031500,24504
VD,20220325032000,24486
VD,20220325032500,24438
VD,20220325033000,24417
VD,20220325033500,24349
VD,20220325034000,24343
VD,20220325034500,24295
VD,20220325035000,24223
VD,20220325035500,24173
VD,20220325040000,24055
VD,20220325040500,24027
VD,20220325041000,24130
VD,20220325041500,24103
VD,20220325042000,24102
VD,20220325042500,24108
VD,20220325043000,24120
VD,20220325043500,24060
VD,20220325044000,24069
VD,20220325044500,24109
VD,20220325045000,24129
VD,20220325045500,24147
VD,20220325050000,24110
VD,20220325050500,23987
VD,20220325051000,24213
VD,20220325051500,24345
VD,20220325052000,24390
VD,20220325052500,24552
VD,20220325053000,24688
VD,20220325053500,24854
VD,20220325054000,24945
VD,20220325054500,25104
VD,20220325055000,25249
VD,20220325055500,25453
VD,20220325060000,25258
VD,20220325060500,26295
VD,20220325061000,26974
VD,20220325061500,27269
VD,20220325062000,27421
VD,20220325062500,27717
VD,20220325063000,27957
VD,20220325063500,28326
VD,20220325064000,28642
VD,20220325064500,28859
VD,20220325065000,29052
VD,20220325065500,29228
VD,20220325070000,29605
VD,20220325070500,30017
VD,20220325071000,30450
VD,20220325071500,30727
VD,20220325072000,30888
VD,20220325072500,31042
VD,20220325073000,31150
VD,20220325073500,31066
VD,20220325074000,31088
VD,20220325074500,31169
VD,20220325075000,31003
VD,20220325075500,31023
VD,20220325080000,31028
VD,20220325080500,31175
VD,20220325081000,31381
VD,20220325081500,31464
VD,20220325082000,31409
VD,20220325082500,31235
VD,20220325083000,31103
VD,20220325083500,31161
VD,20220325084000,31128
VD,20220325084500,31057
VD,20220325085000,30988
VD,20220325085500,30873
VD,20220325090000,30794
VD,20220325090500,30744
VD,20220325091000,30825
VD,20220325091500,30712
VD,20220325092000,30523
VD,20220325092500,30466
VD,20220325093000,30382
VD,20220325093500,30264
VD,20220325094000,30128
VD,20220325094500,29991
VD,20220325095000,29912
VD,20220325095500,29798
VD,20220325100000,29662
VD,20220325100500,29337
VD,20220325101000,29229
VD,20220325101500,29097
VD,20220325102000,28951
VD,20220325102500,28880
VD,20220325103000,28838
VD,20220325103500,28779
VD,20220325104000,28733
VD,20220325104500,28629
VD,20220325105000,28520
VD,20220325105500,28349
VD,20220325110000,28243
VD,20220325110500,28092
VD,20220325111000,28059
VD,20220325111500,27989
VD,20220325112000,27914
VD,20220325112500,27866
VD,20220325113000,27724
VD,20220325113500,27668
VD,20220325114000,27642
VD,20220325114500,27674
VD,20220325115000,27664
VD,20220325115500,27536
VD,20220325120000,27482
VD,20220325120500,27497
VD,20220325121000,27506
VD,20220325121500,27535
VD,20220325122000,27449
VD,20220325122500,27428
VD,20220325123000,27384
VD,20220325123500,27440
VD,20220325124000,27388
VD,20220325124500,27354
VD,20220325125000,27382
VD,20220325125500,27268
VD,20220325130000,27176
VD,20220325130500,27165
VD,20220325131000,27031
VD,20220325131500,26999
VD,20220325132000,26875
VD,20220325132500,26790
VD,20220325133000,26696
VD,20220325133500,26733
VD,20220325134000,26742
VD,20220325134500,26782
VD,20220325135000,26802
VD,20220325135500,26787
VD,20220325140000,26871
VD,20220325140500,27011
VD,20220325141000,27075
VD,20220325141500,27070
VD,20220325142000,26997
VD,20220325142500,27054
VD,20220325143000,27160
VD,20220325143500,27221
VD,20220325144000,26940
VD,20220325144500,27012
VD,20220325145000,27135
VD,20220325145500,27261
VD,20220325150000,27290
VD,20220325150500,27280
VD,20220325151000,27457
VD,20220325151500,27637
VD,20220325152000,27685
VD,20220325152500,27697
VD,20220325153000,27737
